institutionID,qid
http://viaf.org/viaf/128466393,Q667615
http://viaf.org/viaf/128699910,Q1251366
http://viaf.org/viaf/142509930,Q174823
http://viaf.org/viaf/155418159,
http://viaf.org/viaf/239180770,Q894647
https://ror.org/006m4q736,Q129207
https://ror.org/00bv4cx53,Q163255
https://ror.org/00nxtmb68,Q623017
https://ror.org/01faaaf77,Q622683
https://ror.org/01h1jbk91,Q3052500
https://ror.org/01j60ss54,Q15820827
https://ror.org/01tv5y993,Q688704
https://ror.org/023b0x485,Q161982
https://ror.org/024d6js02,Q31519
https://ror.org/02j46qs45,Q763586
https://ror.org/02skbsp27,Q1354858
https://ror.org/0349vqz63,Q1807521
https://ror.org/03a1kwz48,Q153978
https://ror.org/03ad39j10,Q645663
https://ror.org/03prydq77,Q165980
https://ror.org/03s7gtk40,Q154804
https://ror.org/03tcx6c30,Q3329689
https://ror.org/051qn8h41,Q2324420
https://ror.org/05gqaka33,Q32120
https://ror.org/05mpgew40,Q21679572
https://ror.org/05qpz1x62,Q154561
